購買ID,会員ID,購入年月日,購入品目,購入数量,購入金額
P0001069,M000175,2025-10-17,果物,2,1586
P0001070,M000176,2025-08-04,飲料,1,406
P0001071,M000176,2025-12-08,調味料,2,1086
P0001072,M000176,2025-11-02,果物,3,2685
P0001073,M000176,2025-12-21,惣菜,5,3955
P0001074,M000176,2026-05-29,有機食品セット,1,3805
P0001075,M000176,2025-08-07,惣菜,1,600
P0001076,M000177,2026-04-13,米・穀物,4,13024
P0001077,M000177,2026-01-16,菓子,3,1674
P0001078,M000177,2026-05-06,惣菜,1,630
P0001079,M000177,2026-06-10,惣菜,4,2444
P0001080,M000177,2026-06-17,野菜,3,1719
P0001081,M000178,2026-01-12,鮮魚,1,2040
P0001082,M000178,2025-10-02,調味料,1,390
P0001083,M000178,2025-09-24,野菜,2,866
P0001084,M000178,2026-05-20,米・穀物,3,4995
P0001085,M000178,2025-10-03,鮮魚,1,1582
P0001086,M000179,2026-02-22,飲料,2,724
P0001087,M000179,2026-06-22,飲料,3,1236
P0001088,M000179,2025-11-09,精肉,1,1300
P0001089,M000179,2025-07-19,惣菜,5,3635
P0001090,M000179,2026-02-27,調味料,2,1028
P0001091,M000180,2026-02-13,米・穀物,2,5194
P0001092,M000180,2026-01-21,米・穀物,4,9328
P0001093,M000180,2026-05-18,米・穀物,1,2675
P0001094,M000180,2025-09-06,飲料,3,1062
P0001095,M000180,2025-08-29,鮮魚,4,4760
P0001096,M000181,2025-12-19,惣菜,5,3785
P0001097,M000181,2025-07-14,調味料,1,576
P0001098,M000181,2026-05-04,飲料,4,1992
P0001099,M000181,2025-10-30,飲料,5,2210
P0001100,M000181,2026-05-31,有機食品セット,4,13044
P0001101,M000181,2026-02-13,精肉,5,6440
P0001102,M000181,2026-01-02,有機食品セット,3,8751
P0001103,M000182,2026-03-06,菓子,4,2976
P0001104,M000182,2025-07-16,野菜,5,2035
P0001105,M000182,2025-09-27,有機食品セット,4,18844
P0001106,M000182,2025-07-16,果物,4,3604
P0001107,M000183,2026-06-30,飲料,1,503
P0001108,M000183,2025-10-11,有機食品セット,4,15008
P0001109,M000183,2025-10-08,鮮魚,1,2034
P0001110,M000183,2026-01-28,米・穀物,4,11192
P0001111,M000183,2025-11-24,調味料,5,1835
P0001112,M000183,2026-03-27,果物,4,2456
P0001113,M000183,2025-12-07,有機食品セット,1,3510
P0001114,M000183,2025-07-10,野菜,4,2444
P0001115,M000184,2025-07-17,野菜,4,2128
P0001116,M000184,2026-02-24,菓子,1,483
P0001117,M000184,2026-01-04,果物,5,2895
P0001118,M000184,2026-06-12,野菜,2,958
P0001119,M000185,2025-12-24,有機食品セット,5,18230
P0001120,M000185,2025-07-07,野菜,5,2765
P0001121,M000185,2025-12-19,野菜,4,2796
P0001122,M000185,2026-01-10,菓子,2,740
P0001123,M000186,2026-05-24,鮮魚,2,3632
P0001124,M000186,2026-04-20,米・穀物,2,4796
P0001125,M000186,2025-10-06,果物,5,5150
P0001126,M000186,2026-02-16,飲料,3,1047
P0001127,M000187,2026-05-10,菓子,2,828
P0001128,M000187,2025-11-22,野菜,5,2680
P0001129,M000187,2026-04-09,菓子,1,513
P0001130,M000187,2026-01-30,調味料,3,1671
P0001131,M000187,2025-11-07,米・穀物,3,8700
P0001132,M000187,2025-07-09,米・穀物,5,16980
P0001133,M000187,2026-04-18,菓子,1,489
P0001134,M000187,2025-08-10,惣菜,1,674
P0001135,M000187,2026-03-21,惣菜,2,1248
P0001136,M000187,2026-02-20,惣菜,5,3880
P0001137,M000188,2026-04-21,飲料,4,1724
P0001138,M000188,2026-05-23,飲料,4,1928
P0001139,M000188,2025-12-18,調味料,5,2445
P0001140,M000188,2025-08-11,鮮魚,4,7520
P0001141,M000189,2026-04-06,果物,1,829
P0001142,M000189,2025-09-27,果物,2,2650
P0001143,M000189,2025-07-14,調味料,3,1263
P0001144,M000189,2026-03-03,調味料,2,1256
P0001145,M000189,2026-05-24,果物,3,2754
P0001146,M000189,2026-02-08,飲料,3,1377
P0001147,M000190,2026-04-11,惣菜,3,2151
P0001148,M000190,2026-02-08,米・穀物,1,2524
P0001149,M000190,2025-10-18,惣菜,4,2408
P0001150,M000190,2025-07-27,野菜,2,992
P0001151,M000190,2026-02-13,菓子,2,860
P0001152,M000191,2026-04-14,調味料,1,509
P0001153,M000191,2025-08-17,米・穀物,1,2109
P0001154,M000191,2025-11-03,飲料,5,1695
P0001155,M000191,2026-04-24,野菜,4,1992
P0001156,M000191,2025-11-06,果物,5,5200
P0001157,M000192,2026-01-25,果物,1,893
P0001158,M000192,2025-12-13,果物,1,1372
P0001159,M000192,2026-05-26,鮮魚,2,3542
P0001160,M000192,2025-11-08,調味料,5,2695
P0001161,M000192,2025-08-31,野菜,2,1066
P0001162,M000192,2026-04-08,惣菜,2,1818
P0001163,M000192,2026-04-04,惣菜,3,2595
P0001164,M000193,2025-09-28,飲料,1,434
P0001165,M000193,2026-01-12,米・穀物,4,10548
P0001166,M000193,2026-05-16,菓子,1,710
P0001167,M000193,2025-08-28,果物,3,2805
P0001168,M000193,2026-06-10,野菜,1,634
P0001169,M000193,2025-11-04,飲料,3,849
P0001170,M000194,2025-07-06,米・穀物,3,9129
P0001171,M000194,2025-07-31,米・穀物,5,15350
P0001172,M000194,2026-01-24,有機食品セット,3,9435
P0001173,M000194,2025-11-12,菓子,5,1810
P0001174,M000194,2025-12-01,米・穀物,5,14140
P0001175,M000194,2026-01-07,惣菜,5,3210
P0001176,M000194,2025-09-25,惣菜,4,1284
P0001177,M000194,2025-11-20,飲料,3,1296
P0001178,M000194,2025-07-01,米・穀物,4,6148
P0001179,M000195,2025-09-10,果物,4,3424
P0001180,M000195,2026-05-01,野菜,4,2264
P0001181,M000195,2026-04-06,惣菜,3,2286
P0001182,M000195,2026-02-11,惣菜,2,904
P0001183,M000195,2026-01-21,菓子,2,1240
P0001184,M000195,2026-01-05,菓子,5,2095
P0001185,M000195,2025-12-23,調味料,3,1437
P0001186,M000195,2025-11-25,有機食品セット,1,3795
P0001187,M000195,2026-06-04,鮮魚,3,4191
P0001188,M000196,2025-08-20,果物,5,4795
P0001189,M000196,2026-03-10,米・穀物,5,10820
P0001190,M000196,2025-08-24,惣菜,5,3560
P0001191,M000196,2026-04-03,惣菜,5,2535
P0001192,M000196,2025-07-07,鮮魚,1,1878
P0001193,M000197,2025-08-01,鮮魚,1,1896
P0001194,M000197,2026-04-11,惣菜,2,1144
P0001195,M000197,2026-06-01,飲料,5,2040
P0001196,M000197,2025-10-06,果物,1,929
P0001197,M000197,2025-12-15,惣菜,1,444
P0001198,M000197,2026-03-04,精肉,1,1364
P0001199,M000197,2026-05-25,菓子,4,2756
P0001200,M000198,2025-07-18,惣菜,2,1266
P0001201,M000198,2026-05-08,野菜,2,1278
P0001202,M000198,2025-11-22,菓子,5,3240
P0001203,M000198,2026-01-20,有機食品セット,4,17204
P0001204,M000198,2025-07-10,有機食品セット,4,9544
P0001205,M000198,2026-03-28,調味料,1,598
P0001206,M000198,2026-03-19,惣菜,3,1320
P0001207,M000198,2026-03-16,菓子,2,1244
P0001208,M000199,2025-12-27,精肉,1,1353
P0001209,M000199,2026-03-11,惣菜,2,1406
P0001210,M000199,2026-04-30,鮮魚,5,6870
P0001211,M000199,2025-08-06,米・穀物,1,1759
P0001212,M000199,2025-10-17,果物,1,713
P0001213,M000199,2025-07-23,果物,1,914
P0001214,M000199,2025-11-26,精肉,1,1087
P0001215,M000199,2026-02-11,菓子,4,2264
P0001216,M000200,2026-03-30,調味料,2,958
P0001217,M000200,2025-12-01,野菜,1,398
P0001218,M000200,2026-01-19,野菜,2,1316
P0001219,M000200,2025-10-04,飲料,3,1128
P0001220,M000201,2026-01-19,精肉,5,7795
P0001221,M000201,2026-02-27,菓子,1,583
P0001222,M000201,2026-02-06,精肉,4,4700
P0001223,M000201,2025-11-10,鮮魚,1,1636
P0001224,M000202,2025-12-07,有機食品セット,4,17764
P0001225,M000202,2026-04-28,調味料,4,1344
P0001226,M000202,2026-05-02,野菜,3,1842
P0001227,M000202,2025-10-04,調味料,1,608
P0001228,M000202,2026-04-14,精肉,3,3570
P0001229,M000202,2026-02-22,米・穀物,3,9417
P0001230,M000202,2026-06-16,精肉,5,8200
P0001231,M000202,2026-06-06,飲料,5,2290
P0001232,M000203,2026-06-23,菓子,3,1734
P0001233,M000203,2026-01-29,惣菜,5,3390
P0001234,M000203,2025-07-14,有機食品セット,3,10374
P0001235,M000203,2025-07-05,調味料,2,1056
P0001236,M000203,2025-09-07,米・穀物,4,14516
P0001237,M000203,2026-01-31,果物,3,3138
P0001238,M000203,2026-01-01,飲料,5,2085
P0001239,M000203,2026-01-26,飲料,1,435
P0001240,M000203,2025-09-17,有機食品セット,4,23744
P0001241,M000203,2026-06-16,鮮魚,5,6060
P0001242,M000203,2026-03-31,鮮魚,2,2744
P0001243,M000203,2026-04-06,調味料,4,1232
P0001244,M000203,2025-07-19,惣菜,4,2424
P0001245,M000203,2025-08-27,米・穀物,2,6214
P0001246,M000203,2026-04-09,鮮魚,2,1876
P0001247,M000204,2026-03-10,精肉,2,1914
P0001248,M000204,2026-01-10,精肉,1,1184
P0001249,M000204,2026-06-16,野菜,1,374
P0001250,M000204,2026-03-10,有機食品セット,5,15080
P0001251,M000204,2025-11-15,果物,5,3785
P0001252,M000205,2026-05-27,米・穀物,2,6348
P0001253,M000205,2026-01-08,菓子,4,2032
P0001254,M000205,2025-09-10,飲料,5,2525
P0001255,M000205,2025-09-09,調味料,4,2284
P0001256,M000205,2026-01-16,調味料,3,1764
P0001257,M000205,2026-01-16,果物,4,5288
P0001258,M000205,2025-12-25,調味料,1,573
P0001259,M000205,2026-06-18,野菜,2,836
P0001260,M000205,2026-03-11,有機食品セット,1,4569
P0001261,M000206,2026-03-14,飲料,3,1383
P0001262,M000206,2026-06-03,有機食品セット,4,14260
P0001263,M000206,2025-11-04,精肉,4,6236
P0001264,M000206,2026-04-25,野菜,5,3070
P0001265,M000206,2025-11-08,野菜,5,2650
P0001266,M000206,2025-07-29,精肉,3,4821
P0001267,M000207,2026-02-03,米・穀物,3,7584
P0001268,M000207,2025-10-02,菓子,2,926
P0001269,M000207,2025-11-10,鮮魚,2,1906
P0001270,M000207,2025-09-17,鮮魚,5,8260
P0001271,M000207,2026-01-10,野菜,3,1590
P0001272,M000207,2026-02-26,精肉,4,6008
P0001273,M000207,2025-07-09,鮮魚,5,7720
P0001274,M000208,2025-10-08,米・穀物,5,14915
P0001275,M000208,2026-02-12,調味料,1,554
P0001276,M000208,2025-09-28,有機食品セット,3,8511
P0001277,M000208,2026-03-31,菓子,4,1520
P0001278,M000208,2025-07-15,有機食品セット,3,12105
P0001279,M000209,2026-05-27,菓子,1,460
P0001280,M000209,2025-07-19,有機食品セット,5,15925
P0001281,M000209,2025-11-09,米・穀物,4,7952
P0001282,M000209,2025-09-25,鮮魚,5,7415
P0001283,M000209,2026-05-04,有機食品セット,3,9558
P0001284,M000209,2025-08-05,鮮魚,4,5300
P0001285,M000209,2025-10-31,精肉,3,3228
P0001286,M000209,2026-06-11,有機食品セット,1,3514
P0001287,M000210,2026-06-27,惣菜,2,1518
P0001288,M000210,2025-08-28,鮮魚,2,3312
P0001289,M000210,2025-07-13,飲料,4,1820
P0001290,M000210,2025-08-28,調味料,2,1160
P0001291,M000210,2025-10-05,調味料,5,1655
P0001292,M000210,2025-07-21,調味料,3,1437
P0001293,M000210,2025-12-16,飲料,2,966
P0001294,M000211,2025-12-02,飲料,4,1972
P0001295,M000211,2025-12-29,野菜,4,1388
P0001296,M000212,2026-01-22,惣菜,3,1797
P0001297,M000212,2026-01-15,果物,3,2484
P0001298,M000212,2026-06-22,野菜,5,2760
P0001299,M000212,2025-09-11,調味料,2,748
P0001300,M000212,2025-08-14,調味料,3,903
P0001301,M000212,2026-03-04,菓子,1,380
P0001302,M000213,2025-08-31,有機食品セット,1,4463
P0001303,M000213,2025-07-18,精肉,2,2888
P0001304,M000213,2026-03-25,惣菜,2,1034
P0001305,M000213,2025-09-27,飲料,1,551
P0001306,M000213,2026-05-13,菓子,1,542
P0001307,M000213,2026-03-19,米・穀物,1,1957
P0001308,M000213,2026-03-29,菓子,4,1792
P0001309,M000214,2026-04-17,惣菜,1,658
P0001310,M000214,2025-12-09,果物,1,1282
P0001311,M000214,2025-09-03,飲料,5,2240
P0001312,M000214,2025-07-09,野菜,3,1419
P0001313,M000214,2026-04-06,飲料,4,844
P0001314,M000214,2025-11-21,鮮魚,3,5604
P0001315,M000215,2026-06-13,野菜,1,487
P0001316,M000215,2026-01-14,鮮魚,4,7508
P0001317,M000215,2025-12-17,鮮魚,5,9095
P0001318,M000215,2025-12-30,調味料,3,1386
P0001319,M000215,2026-03-03,飲料,2,538
P0001320,M000215,2025-08-22,菓子,3,1797
P0001321,M000215,2026-06-16,鮮魚,4,7136
P0001322,M000215,2025-08-17,精肉,3,3555
P0001323,M000216,2026-04-09,惣菜,1,564
P0001324,M000216,2025-08-27,調味料,1,561
P0001325,M000216,2026-02-21,精肉,1,1129
P0001326,M000216,2026-05-13,果物,4,2384
P0001327,M000216,2025-12-13,有機食品セット,4,17360
P0001328,M000216,2025-07-11,鮮魚,3,5133
P0001329,M000216,2026-02-27,果物,5,5110
P0001330,M000217,2025-07-28,調味料,4,1864
P0001331,M000217,2026-06-11,惣菜,4,2876
P0001332,M000217,2025-07-22,果物,5,4755
P0001333,M000217,2025-10-29,野菜,4,2572
P0001334,M000217,2026-04-10,飲料,3,1083
P0001335,M000217,2025-10-18,野菜,3,1776
P0001336,M000217,2026-01-13,飲料,1,380
P0001337,M000217,2025-10-14,野菜,2,1172
P0001338,M000218,2025-09-02,菓子,5,2035
P0001339,M000218,2026-06-24,調味料,4,1868
P0001340,M000218,2026-03-01,飲料,4,1932
P0001341,M000218,2025-08-05,惣菜,5,3365
P0001342,M000218,2026-05-24,惣菜,4,1904
P0001343,M000219,2026-02-15,精肉,2,3260
P0001344,M000219,2025-09-03,精肉,4,6660
P0001345,M000219,2026-05-24,菓子,1,590
P0001346,M000219,2025-10-18,有機食品セット,1,5006
P0001347,M000219,2025-12-31,有機食品セット,3,16707
P0001348,M000219,2025-11-17,菓子,4,2452
P0001349,M000220,2025-07-10,野菜,4,1700
P0001350,M000220,2026-04-19,飲料,1,547
P0001351,M000220,2026-02-15,惣菜,2,1756
P0001352,M000220,2025-09-12,調味料,2,1000
P0001353,M000220,2025-09-11,鮮魚,4,7608
P0001354,M000220,2026-01-22,調味料,3,1893
P0001355,M000221,2026-02-05,果物,1,920
P0001356,M000221,2026-02-19,野菜,2,1130
P0001357,M000221,2026-03-29,米・穀物,2,6774
P0001358,M000221,2025-09-22,果物,5,3380
P0001359,M000222,2026-02-14,鮮魚,2,2840
P0001360,M000222,2026-03-22,惣菜,2,1284
P0001361,M000222,2025-12-25,精肉,5,6695
P0001362,M000223,2025-07-02,調味料,3,1146
P0001363,M000223,2025-09-12,惣菜,5,2770
P0001364,M000223,2026-02-15,米・穀物,3,6789
P0001365,M000224,2026-04-02,米・穀物,2,7188
P0001366,M000224,2025-12-21,調味料,1,438
P0001367,M000224,2026-03-22,野菜,5,2915
P0001368,M000224,2026-03-28,調味料,1,456
P0001369,M000225,2026-03-10,飲料,2,966
P0001370,M000225,2026-04-08,惣菜,2,1056
P0001371,M000225,2026-06-06,米・穀物,5,9850
P0001372,M000225,2025-10-17,米・穀物,2,7558
P0001373,M000225,2025-12-05,野菜,3,1626
P0001374,M000225,2026-04-16,調味料,2,1082
P0001375,M000226,2026-05-23,飲料,5,1490
P0001376,M000226,2025-11-10,精肉,5,4050
P0001377,M000226,2025-09-07,精肉,4,6912
P0001378,M000226,2026-02-03,飲料,4,1608
P0001379,M000227,2026-02-16,惣菜,1,459
P0001380,M000227,2026-02-02,米・穀物,5,15115
P0001381,M000227,2025-07-16,菓子,1,580
P0001382,M000227,2025-12-09,精肉,4,4104
P0001383,M000227,2026-05-17,果物,2,1738
P0001384,M000227,2026-03-12,飲料,5,3185
P0001385,M000227,2025-11-14,米・穀物,5,12925
P0001386,M000228,2025-12-14,鮮魚,4,6336
P0001387,M000228,2026-05-09,野菜,2,1196
P0001388,M000228,2025-12-22,飲料,3,981
P0001389,M000228,2026-03-23,菓子,2,926
P0001390,M000228,2025-12-05,精肉,2,1968
P0001391,M000228,2026-06-21,菓子,4,2560
P0001392,M000228,2026-05-26,惣菜,5,2980
P0001393,M000229,2026-03-11,果物,2,1418
P0001394,M000229,2025-11-05,野菜,1,785
P0001395,M000229,2026-04-23,飲料,4,2644
P0001396,M000229,2025-12-22,精肉,3,4398
P0001397,M000229,2025-08-17,米・穀物,5,14590
P0001398,M000229,2025-09-30,果物,3,1809
P0001399,M000229,2025-11-17,飲料,1,593
P0001400,M000229,2026-04-06,惣菜,4,3156
P0001401,M000229,2025-10-26,鮮魚,2,3080
P0001402,M000230,2025-09-16,米・穀物,4,12784
P0001403,M000230,2025-07-13,果物,4,2684
P0001404,M000230,2026-05-14,惣菜,1,588
P0001405,M000231,2025-10-02,野菜,4,1884
P0001406,M000231,2026-04-18,米・穀物,2,6152
P0001407,M000231,2025-10-26,米・穀物,4,11980
P0001408,M000232,2025-07-30,鮮魚,5,7690
P0001409,M000232,2026-04-17,有機食品セット,1,3253
P0001410,M000232,2026-04-15,鮮魚,3,4860
P0001411,M000232,2025-08-07,精肉,4,4608
P0001412,M000232,2026-02-24,米・穀物,4,11828
P0001413,M000233,2026-06-29,果物,1,880
P0001414,M000233,2026-05-03,飲料,4,2364
P0001415,M000233,2026-06-30,精肉,3,3624
P0001416,M000233,2026-06-29,菓子,1,550
P0001417,M000233,2025-08-19,調味料,2,1144
P0001418,M000234,2025-12-16,調味料,3,1026
P0001419,M000234,2026-05-03,精肉,1,909
P0001420,M000234,2026-06-10,飲料,2,480
P0001421,M000234,2025-10-16,惣菜,3,1791
P0001422,M000235,2025-07-01,飲料,3,1245
P0001423,M000235,2025-07-10,有機食品セット,4,22260
P0001424,M000235,2026-04-01,米・穀物,3,8025
P0001425,M000235,2025-08-14,調味料,2,1066
P0001426,M000235,2026-02-09,調味料,5,3000
P0001427,M000235,2026-02-20,飲料,5,2335
P0001428,M000235,2026-06-29,野菜,1,563
P0001429,M000235,2026-02-15,調味料,1,672
P0001430,M000235,2025-10-18,飲料,3,1830
P0001431,M000236,2026-03-09,米・穀物,4,10952
P0001432,M000236,2026-06-09,鮮魚,5,6965
P0001433,M000236,2025-08-18,果物,2,2422
P0001434,M000236,2026-01-13,惣菜,1,611
P0001435,M000236,2026-05-14,米・穀物,3,11025
P0001436,M000236,2026-04-03,野菜,3,1506
P0001437,M000237,2025-11-25,精肉,4,5136
P0001438,M000237,2026-02-28,有機食品セット,4,18408
P0001439,M000237,2026-03-07,精肉,3,2916
P0001440,M000237,2025-09-22,惣菜,3,1926
P0001441,M000237,2025-12-28,菓子,4,1728
P0001442,M000238,2026-01-14,飲料,5,2050
P0001443,M000238,2026-03-27,野菜,4,2804
P0001444,M000238,2025-07-13,果物,4,3988
P0001445,M000238,2026-03-28,米・穀物,2,4830
P0001446,M000238,2026-04-30,野菜,3,1425
P0001447,M000238,2025-12-13,飲料,2,1010
P0001448,M000238,2025-11-15,調味料,3,1476
P0001449,M000239,2026-03-24,菓子,4,2644
P0001450,M000239,2026-06-21,飲料,1,575
P0001451,M000239,2026-05-14,精肉,5,6940
P0001452,M000239,2025-11-21,調味料,4,2520
P0001453,M000240,2025-07-08,米・穀物,2,5820
P0001454,M000240,2025-08-01,惣菜,1,544
P0001455,M000240,2026-03-16,調味料,1,634
P0001456,M000240,2025-09-30,惣菜,5,4030
P0001457,M000240,2025-12-22,米・穀物,1,2476
P0001458,M000240,2026-05-30,惣菜,2,986
P0001459,M000240,2025-12-30,惣菜,5,3455
P0001460,M000240,2026-01-07,調味料,1,462
P0001461,M000240,2026-01-23,野菜,1,477
P0001462,M000241,2026-06-04,精肉,5,5565
P0001463,M000241,2026-03-09,菓子,5,3175
P0001464,M000241,2025-09-30,飲料,3,1320
P0001465,M000241,2026-05-04,果物,2,1536
P0001466,M000241,2025-12-22,鮮魚,3,4596
P0001467,M000241,2025-07-09,精肉,5,4750
P0001468,M000242,2025-10-31,精肉,4,5248
P0001469,M000242,2026-03-23,調味料,2,812
P0001470,M000242,2025-08-12,鮮魚,2,2150
P0001471,M000242,2025-07-07,鮮魚,3,3612
P0001472,M000242,2025-07-26,野菜,3,1560
P0001473,M000242,2025-08-25,野菜,1,459
P0001474,M000242,2025-11-15,調味料,4,1680
P0001475,M000242,2025-10-18,果物,2,1458
P0001476,M000242,2025-09-06,飲料,1,517
P0001477,M000242,2026-01-20,鮮魚,2,3120
P0001478,M000243,2025-07-17,精肉,4,6196
P0001479,M000243,2025-11-27,飲料,1,284
P0001480,M000243,2025-07-10,惣菜,5,4125
P0001481,M000243,2025-08-12,果物,2,1892
P0001482,M000244,2026-01-10,米・穀物,1,2209
P0001483,M000244,2026-01-04,精肉,4,4968
P0001484,M000244,2026-03-17,有機食品セット,1,4343
P0001485,M000244,2025-11-18,野菜,1,587
P0001486,M000244,2026-03-02,野菜,1,612
P0001487,M000244,2026-03-19,野菜,3,1800
P0001488,M000244,2026-02-13,果物,2,1542
P0001489,M000244,2026-06-26,果物,4,3120
P0001490,M000244,2025-09-23,惣菜,4,3148
P0001491,M000244,2025-09-22,飲料,4,1164
P0001492,M000245,2026-05-10,鮮魚,1,1733
P0001493,M000245,2026-06-23,野菜,5,3855
P0001494,M000245,2026-04-27,鮮魚,2,3916
P0001495,M000245,2025-12-30,米・穀物,1,3261
P0001496,M000245,2026-01-01,果物,4,3420
P0001497,M000246,2026-06-23,菓子,2,1020
P0001498,M000246,2026-05-10,菓子,1,587
P0001499,M000246,2026-04-11,野菜,3,2175
P0001500,M000246,2025-10-02,菓子,5,2560
P0001501,M000246,2026-03-21,野菜,5,3350
P0001502,M000247,2025-09-04,鮮魚,2,3738
P0001503,M000247,2026-05-18,鮮魚,2,3380
P0001504,M000247,2025-12-15,惣菜,1,900
P0001505,M000247,2026-02-10,飲料,2,808
P0001506,M000247,2025-08-31,精肉,5,6590
P0001507,M000248,2026-06-05,惣菜,3,1794
P0001508,M000248,2026-01-23,米・穀物,3,8754
P0001509,M000248,2025-08-10,菓子,4,1512
P0001510,M000248,2025-09-17,野菜,1,562
P0001511,M000248,2026-02-09,飲料,4,1928
P0001512,M000248,2026-01-05,米・穀物,1,3233
P0001513,M000248,2025-10-01,野菜,1,599
P0001514,M000249,2026-06-01,飲料,3,1344
P0001515,M000249,2026-06-21,精肉,1,1095
P0001516,M000249,2025-07-09,精肉,1,1347
P0001517,M000250,2025-08-30,米・穀物,1,3221
P0001518,M000250,2026-06-01,果物,3,3003
P0001519,M000250,2026-02-09,飲料,4,2688
P0001520,M000250,2025-08-24,有機食品セット,2,9212
P0001521,M000250,2025-11-07,惣菜,1,692
P0001522,M000250,2026-04-07,果物,3,2634
P0001523,M000251,2025-07-19,野菜,5,2745
P0001524,M000251,2025-11-24,惣菜,3,1464
P0001525,M000251,2026-05-18,惣菜,4,2080
P0001526,M000251,2026-06-24,菓子,1,653
P0001527,M000252,2026-06-28,調味料,4,1092
P0001528,M000252,2025-12-14,調味料,5,2140
P0001529,M000252,2025-09-21,惣菜,5,4030
P0001530,M000253,2025-07-16,鮮魚,4,5612
P0001531,M000253,2025-09-03,米・穀物,2,5722
P0001532,M000253,2026-01-12,惣菜,1,988
P0001533,M000253,2026-02-19,飲料,3,1362
P0001534,M000254,2026-03-30,菓子,3,1254
P0001535,M000254,2025-07-04,菓子,4,2320
P0001536,M000254,2026-05-06,野菜,3,1503
P0001537,M000254,2026-04-25,菓子,4,2336
P0001538,M000254,2025-10-06,有機食品セット,5,23010
P0001539,M000254,2025-08-04,精肉,4,5008
P0001540,M000255,2025-07-20,菓子,1,484
P0001541,M000255,2026-06-13,米・穀物,4,15660
P0001542,M000255,2026-02-24,惣菜,5,2480
P0001543,M000255,2025-08-24,有機食品セット,4,16108
P0001544,M000255,2025-08-24,果物,3,2541
P0001545,M000256,2025-08-10,野菜,1,616
P0001546,M000256,2025-10-09,野菜,3,1854
P0001547,M000256,2025-11-08,飲料,3,1479
P0001548,M000256,2026-01-19,惣菜,4,2600
P0001549,M000256,2026-01-23,惣菜,3,2283
P0001550,M000256,2025-12-04,惣菜,3,1374
P0001551,M000256,2025-08-08,野菜,1,457
P0001552,M000257,2026-03-08,有機食品セット,3,10767
P0001553,M000257,2026-01-09,果物,4,3092
P0001554,M000257,2026-01-09,飲料,5,2485
P0001555,M000257,2026-02-06,鮮魚,2,3456
P0001556,M000257,2025-10-01,野菜,2,1446
P0001557,M000257,2025-11-11,精肉,5,6005
P0001558,M000257,2025-08-09,菓子,4,2572
P0001559,M000257,2025-08-10,調味料,1,752
P0001560,M000258,2026-02-09,鮮魚,1,1759
P0001561,M000258,2025-08-16,惣菜,5,3850
P0001562,M000258,2025-12-17,精肉,5,5630
P0001563,M000258,2025-07-28,野菜,2,1250
P0001564,M000258,2025-07-19,精肉,1,1562
P0001565,M000258,2026-05-21,果物,1,938
P0001566,M000258,2025-12-04,米・穀物,5,18825
P0001567,M000259,2025-08-10,果物,5,4260
P0001568,M000259,2026-05-17,米・穀物,1,3279
P0001569,M000259,2025-08-14,野菜,4,2160
P0001570,M000260,2025-07-18,米・穀物,4,9356
P0001571,M000260,2025-10-16,野菜,3,1686
P0001572,M000260,2025-10-18,惣菜,2,732
P0001573,M000260,2025-09-10,野菜,3,1845
P0001574,M000260,2026-03-18,惣菜,3,2364
P0001575,M000261,2025-09-11,有機食品セット,3,12033
P0001576,M000261,2026-03-08,野菜,5,2455
P0001577,M000261,2026-01-26,有機食品セット,3,10659
P0001578,M000261,2026-05-08,調味料,5,2355
P0001579,M000261,2025-07-26,調味料,3,1239
P0001580,M000261,2025-07-25,菓子,4,2724
P0001581,M000261,2025-10-08,飲料,4,2376
P0001582,M000261,2025-10-01,鮮魚,2,2510
P0001583,M000261,2025-07-14,野菜,3,1026
P0001584,M000261,2026-01-24,調味料,1,441
P0001585,M000262,2025-07-19,野菜,3,1650
P0001586,M000262,2025-08-17,飲料,4,1384
P0001587,M000263,2025-11-01,飲料,5,1955
P0001588,M000263,2025-09-02,菓子,2,1114
P0001589,M000263,2026-03-05,精肉,4,5284
P0001590,M000263,2025-11-09,精肉,3,4428
P0001591,M000263,2025-07-01,果物,2,1658
P0001592,M000263,2026-06-05,果物,3,2355
P0001593,M000263,2025-12-27,鮮魚,3,5280
P0001594,M000263,2025-07-11,飲料,4,2080
P0001595,M000264,2025-12-02,野菜,5,2320
P0001596,M000264,2026-03-30,調味料,3,1311
P0001597,M000264,2025-08-17,果物,5,7220
P0001598,M000264,2026-02-19,米・穀物,1,2885
P0001599,M000264,2025-08-04,調味料,3,1218
P0001600,M000264,2026-06-05,鮮魚,3,6099
P0001601,M000265,2026-06-09,鮮魚,5,8990
P0001602,M000265,2025-10-06,惣菜,1,722
P0001603,M000265,2025-07-28,精肉,2,2596
P0001604,M000265,2025-07-13,米・穀物,3,7299
P0001605,M000265,2026-06-30,有機食品セット,2,6724
P0001606,M000265,2025-08-18,有機食品セット,5,23780
P0001607,M000265,2026-06-05,鮮魚,2,3504
P0001608,M000266,2026-04-08,鮮魚,5,8545
P0001609,M000266,2026-05-04,鮮魚,3,5793
P0001610,M000266,2026-03-30,菓子,4,2544
P0001611,M000266,2026-06-04,惣菜,3,2199
P0001612,M000266,2026-06-30,野菜,2,1000
P0001613,M000266,2026-06-19,惣菜,4,2384
P0001614,M000267,2025-08-31,菓子,1,407
P0001615,M000267,2026-03-03,果物,4,2728
P0001616,M000267,2026-03-16,惣菜,3,1620
P0001617,M000267,2025-12-26,精肉,4,6544
