明細ID,取引ID,商品ID,商品名,数量,金額
D00002738,T0000897,G07,さば,2,919
D00002739,T0000897,G13,コーヒー豆,3,2285
D00002740,T0000898,G15,チョコレート,2,413
D00002741,T0000898,G12,緑茶ペットボトル,1,131
D00002742,T0000898,G12,緑茶ペットボトル,2,285
D00002743,T0000899,G02,レタス,1,200
D00002744,T0000899,G04,バナナ,3,665
D00002745,T0000899,G10,食パン,3,675
D00002746,T0000899,G07,さば,1,380
D00002747,T0000899,G02,レタス,3,549
D00002748,T0000900,G14,ポテトチップス,3,486
D00002749,T0000900,G01,トマト,2,525
D00002750,T0000901,G13,コーヒー豆,1,784
D00002751,T0000901,G10,食パン,2,445
D00002752,T0000902,G02,レタス,3,603
D00002753,T0000902,G07,さば,2,876
D00002754,T0000903,G04,バナナ,3,686
D00002755,T0000903,G10,食パン,1,226
D00002756,T0000904,G07,さば,1,406
D00002757,T0000904,G07,さば,1,450
D00002758,T0000905,G01,トマト,2,503
D00002759,T0000905,G14,ポテトチップス,3,522
D00002760,T0000905,G01,トマト,3,740
D00002761,T0000905,G12,緑茶ペットボトル,3,427
D00002762,T0000905,G04,バナナ,1,196
D00002763,T0000906,G12,緑茶ペットボトル,2,254
D00002764,T0000906,G14,ポテトチップス,3,496
D00002765,T0000906,G04,バナナ,1,200
D00002766,T0000906,G06,鶏むね肉,1,516
D00002767,T0000906,G10,食パン,1,243
D00002768,T0000907,G09,こしひかり5kg,3,8000
D00002769,T0000908,G15,チョコレート,3,617
D00002770,T0000909,G01,トマト,3,815
D00002771,T0000909,G15,チョコレート,2,472
D00002772,T0000910,G10,食パン,1,212
D00002773,T0000910,G07,さば,2,849
D00002774,T0000911,G09,こしひかり5kg,2,5634
D00002775,T0000911,G07,さば,3,1245
D00002776,T0000911,G05,牛肉（国産）,3,2847
D00002777,T0000911,G12,緑茶ペットボトル,1,147
D00002778,T0000911,G11,からあげ弁当,2,1122
D00002779,T0000912,G02,レタス,3,584
D00002780,T0000913,G01,トマト,1,279
D00002781,T0000913,G04,バナナ,1,190
D00002782,T0000913,G02,レタス,1,180
D00002783,T0000913,G10,食パン,3,719
D00002784,T0000914,G11,からあげ弁当,1,632
D00002785,T0000914,G04,バナナ,3,619
D00002786,T0000915,G01,トマト,2,541
D00002787,T0000915,G14,ポテトチップス,2,333
D00002788,T0000916,G07,さば,3,1328
D00002789,T0000916,G04,バナナ,3,650
D00002790,T0000916,G11,からあげ弁当,1,579
D00002791,T0000916,G15,チョコレート,2,402
D00002792,T0000916,G14,ポテトチップス,2,327
D00002793,T0000917,G04,バナナ,3,592
D00002794,T0000917,G03,りんご,2,581
D00002795,T0000917,G05,牛肉（国産）,1,996
D00002796,T0000917,G03,りんご,2,577
D00002797,T0000917,G07,さば,1,395
D00002798,T0000918,G15,チョコレート,3,643
D00002799,T0000918,G15,チョコレート,2,454
D00002800,T0000918,G01,トマト,2,513
D00002801,T0000918,G13,コーヒー豆,1,836
D00002802,T0000918,G05,牛肉（国産）,3,2782
D00002803,T0000919,G04,バナナ,2,418
D00002804,T0000919,G09,こしひかり5kg,1,2544
D00002805,T0000920,G04,バナナ,3,622
D00002806,T0000920,G01,トマト,3,834
D00002807,T0000920,G03,りんご,1,331
D00002808,T0000920,G12,緑茶ペットボトル,2,282
D00002809,T0000920,G06,鶏むね肉,1,468
D00002810,T0000921,G15,チョコレート,3,677
D00002811,T0000921,G02,レタス,1,174
D00002812,T0000922,G14,ポテトチップス,1,157
D00002813,T0000922,G15,チョコレート,1,233
D00002814,T0000922,G08,まぐろ刺身,3,2439
D00002815,T0000922,G02,レタス,1,175
D00002816,T0000923,G13,コーヒー豆,1,769
D00002817,T0000923,G11,からあげ弁当,1,578
D00002818,T0000924,G02,レタス,1,193
D00002819,T0000924,G08,まぐろ刺身,1,899
D00002820,T0000925,G05,牛肉（国産）,2,1775
D00002821,T0000925,G08,まぐろ刺身,3,2364
D00002822,T0000925,G05,牛肉（国産）,3,2628
D00002823,T0000925,G14,ポテトチップス,1,154
D00002824,T0000925,G02,レタス,1,190
D00002825,T0000926,G12,緑茶ペットボトル,2,261
D00002826,T0000926,G10,食パン,2,470
D00002827,T0000926,G02,レタス,1,175
D00002828,T0000927,G07,さば,1,459
D00002829,T0000927,G04,バナナ,2,451
D00002830,T0000927,G14,ポテトチップス,3,474
D00002831,T0000927,G09,こしひかり5kg,3,7516
D00002832,T0000928,G16,しょうゆ,1,356
D00002833,T0000928,G03,りんご,1,344
D00002834,T0000929,G11,からあげ弁当,2,1210
D00002835,T0000929,G10,食パン,2,440
D00002836,T0000929,G12,緑茶ペットボトル,2,255
D00002837,T0000930,G04,バナナ,3,669
D00002838,T0000930,G10,食パン,3,721
D00002839,T0000930,G02,レタス,1,203
D00002840,T0000930,G02,レタス,2,354
D00002841,T0000930,G06,鶏むね肉,1,455
D00002842,T0000931,G06,鶏むね肉,3,1357
D00002843,T0000932,G07,さば,3,1345
D00002844,T0000932,G10,食パン,1,248
D00002845,T0000932,G10,食パン,2,469
D00002846,T0000933,G03,りんご,3,873
D00002847,T0000933,G02,レタス,2,383
D00002848,T0000934,G01,トマト,2,570
D00002849,T0000934,G07,さば,1,418
D00002850,T0000934,G07,さば,1,445
D00002851,T0000935,G10,食パン,3,739
D00002852,T0000935,G11,からあげ弁当,3,1821
D00002853,T0000935,G14,ポテトチップス,3,457
D00002854,T0000935,G01,トマト,2,496
D00002855,T0000936,G14,ポテトチップス,3,492
D00002856,T0000936,G06,鶏むね肉,1,513
D00002857,T0000936,G10,食パン,1,213
D00002858,T0000937,G10,食パン,2,479
D00002859,T0000938,G14,ポテトチップス,3,473
D00002860,T0000938,G14,ポテトチップス,1,159
D00002861,T0000939,G12,緑茶ペットボトル,1,147
D00002862,T0000940,G01,トマト,3,836
D00002863,T0000940,G12,緑茶ペットボトル,2,295
D00002864,T0000940,G04,バナナ,3,673
D00002865,T0000940,G08,まぐろ刺身,2,1730
D00002866,T0000941,G03,りんご,2,599
D00002867,T0000941,G11,からあげ弁当,2,1127
D00002868,T0000941,G12,緑茶ペットボトル,1,132
D00002869,T0000941,G15,チョコレート,3,690
D00002870,T0000942,G11,からあげ弁当,2,1076
D00002871,T0000943,G01,トマト,1,246
D00002872,T0000944,G14,ポテトチップス,2,351
D00002873,T0000944,G05,牛肉（国産）,1,970
D00002874,T0000944,G02,レタス,1,173
D00002875,T0000945,G16,しょうゆ,2,632
D00002876,T0000945,G03,りんご,3,904
D00002877,T0000946,G14,ポテトチップス,3,490
D00002878,T0000946,G04,バナナ,3,637
D00002879,T0000946,G13,コーヒー豆,3,2591
D00002880,T0000947,G02,レタス,2,409
D00002881,T0000947,G10,食パン,1,215
D00002882,T0000948,G06,鶏むね肉,1,486
D00002883,T0000949,G04,バナナ,3,663
D00002884,T0000950,G01,トマト,3,858
D00002885,T0000950,G10,食パン,1,214
D00002886,T0000950,G06,鶏むね肉,2,919
D00002887,T0000950,G13,コーヒー豆,1,766
D00002888,T0000951,G02,レタス,1,184
D00002889,T0000951,G03,りんご,1,325
D00002890,T0000952,G15,チョコレート,2,401
D00002891,T0000953,G09,こしひかり5kg,2,5641
D00002892,T0000953,G07,さば,1,380
D00002893,T0000953,G15,チョコレート,1,222
D00002894,T0000953,G12,緑茶ペットボトル,1,131
D00002895,T0000954,G06,鶏むね肉,2,958
D00002896,T0000955,G05,牛肉（国産）,3,2687
D00002897,T0000956,G04,バナナ,2,403
D00002898,T0000956,G03,りんご,3,1030
D00002899,T0000956,G02,レタス,3,612
D00002900,T0000956,G02,レタス,3,590
D00002901,T0000957,G14,ポテトチップス,3,506
D00002902,T0000957,G10,食パン,2,496
D00002903,T0000958,G02,レタス,3,550
D00002904,T0000958,G12,緑茶ペットボトル,2,249
D00002905,T0000958,G06,鶏むね肉,2,904
D00002906,T0000958,G14,ポテトチップス,3,516
D00002907,T0000958,G14,ポテトチップス,3,463
D00002908,T0000959,G09,こしひかり5kg,2,5670
D00002909,T0000959,G06,鶏むね肉,3,1382
D00002910,T0000959,G02,レタス,3,589
D00002911,T0000959,G14,ポテトチップス,3,488
D00002912,T0000959,G14,ポテトチップス,3,472
D00002913,T0000960,G03,りんご,3,977
D00002914,T0000960,G05,牛肉（国産）,1,923
D00002915,T0000960,G06,鶏むね肉,3,1321
D00002916,T0000960,G14,ポテトチップス,1,164
D00002917,T0000960,G01,トマト,1,254
D00002918,T0000961,G14,ポテトチップス,2,308
D00002919,T0000961,G07,さば,1,419
D00002920,T0000961,G04,バナナ,2,402
D00002921,T0000962,G12,緑茶ペットボトル,2,262
D00002922,T0000962,G10,食パン,2,473
D00002923,T0000962,G06,鶏むね肉,1,428
D00002924,T0000962,G14,ポテトチップス,1,169
D00002925,T0000963,G14,ポテトチップス,2,329
D00002926,T0000963,G11,からあげ弁当,3,1683
D00002927,T0000964,G04,バナナ,2,383
D00002928,T0000964,G02,レタス,1,195
D00002929,T0000964,G01,トマト,1,258
D00002930,T0000964,G07,さば,1,404
D00002931,T0000965,G12,緑茶ペットボトル,2,278
D00002932,T0000965,G12,緑茶ペットボトル,3,394
D00002933,T0000965,G04,バナナ,3,600
D00002934,T0000965,G06,鶏むね肉,2,889
D00002935,T0000966,G12,緑茶ペットボトル,1,143
D00002936,T0000966,G11,からあげ弁当,1,619
D00002937,T0000966,G11,からあげ弁当,3,1765
D00002938,T0000967,G14,ポテトチップス,1,170
D00002939,T0000967,G12,緑茶ペットボトル,1,145
D00002940,T0000967,G10,食パン,3,708
D00002941,T0000968,G09,こしひかり5kg,2,5863
D00002942,T0000968,G02,レタス,3,585
D00002943,T0000968,G14,ポテトチップス,1,167
D00002944,T0000968,G02,レタス,2,382
D00002945,T0000969,G07,さば,2,783
D00002946,T0000969,G16,しょうゆ,2,620
D00002947,T0000970,G11,からあげ弁当,2,1190
D00002948,T0000970,G12,緑茶ペットボトル,1,142
D00002949,T0000970,G08,まぐろ刺身,2,1536
D00002950,T0000971,G02,レタス,2,413
D00002951,T0000971,G11,からあげ弁当,1,550
D00002952,T0000971,G13,コーヒー豆,3,2498
D00002953,T0000972,G12,緑茶ペットボトル,1,131
D00002954,T0000972,G12,緑茶ペットボトル,3,384
D00002955,T0000973,G06,鶏むね肉,1,471
D00002956,T0000973,G07,さば,3,1192
D00002957,T0000973,G12,緑茶ペットボトル,3,406
D00002958,T0000973,G15,チョコレート,3,625
D00002959,T0000973,G04,バナナ,1,209
D00002960,T0000974,G13,コーヒー豆,1,858
D00002961,T0000974,G04,バナナ,2,446
D00002962,T0000974,G06,鶏むね肉,1,502
D00002963,T0000975,G05,牛肉（国産）,3,2817
D00002964,T0000976,G04,バナナ,1,202
D00002965,T0000976,G08,まぐろ刺身,3,2407
D00002966,T0000976,G15,チョコレート,3,690
D00002967,T0000976,G06,鶏むね肉,1,428
D00002968,T0000976,G12,緑茶ペットボトル,3,377
D00002969,T0000977,G05,牛肉（国産）,2,1983
D00002970,T0000977,G11,からあげ弁当,2,1252
D00002971,T0000977,G06,鶏むね肉,2,882
D00002972,T0000978,G11,からあげ弁当,1,581
D00002973,T0000979,G14,ポテトチップス,2,323
D00002974,T0000979,G04,バナナ,2,412
D00002975,T0000979,G15,チョコレート,3,613
D00002976,T0000979,G12,緑茶ペットボトル,1,123
D00002977,T0000979,G03,りんご,3,905
D00002978,T0000980,G15,チョコレート,2,442
D00002979,T0000980,G06,鶏むね肉,2,971
D00002980,T0000980,G07,さば,2,868
D00002981,T0000980,G03,りんご,1,295
D00002982,T0000981,G01,トマト,3,750
D00002983,T0000981,G16,しょうゆ,3,990
D00002984,T0000981,G15,チョコレート,1,228
D00002985,T0000981,G12,緑茶ペットボトル,3,400
D00002986,T0000981,G06,鶏むね肉,1,470
D00002987,T0000982,G05,牛肉（国産）,2,2043
D00002988,T0000982,G03,りんご,3,911
D00002989,T0000982,G12,緑茶ペットボトル,2,265
D00002990,T0000983,G02,レタス,2,350
D00002991,T0000984,G03,りんご,2,603
D00002992,T0000984,G01,トマト,2,545
D00002993,T0000984,G15,チョコレート,2,468
D00002994,T0000984,G01,トマト,1,270
D00002995,T0000984,G15,チョコレート,2,431
D00002996,T0000985,G16,しょうゆ,3,1036
D00002997,T0000985,G06,鶏むね肉,1,506
D00002998,T0000986,G06,鶏むね肉,3,1541
D00002999,T0000986,G02,レタス,1,184
D00003000,T0000986,G02,レタス,3,577
D00003001,T0000986,G13,コーヒー豆,2,1527
D00003002,T0000986,G01,トマト,3,780
D00003003,T0000987,G13,コーヒー豆,1,849
D00003004,T0000988,G09,こしひかり5kg,2,5841
D00003005,T0000989,G16,しょうゆ,1,323
D00003006,T0000989,G03,りんご,3,945
D00003007,T0000989,G12,緑茶ペットボトル,2,273
D00003008,T0000989,G05,牛肉（国産）,2,1817
D00003009,T0000990,G11,からあげ弁当,3,1847
D00003010,T0000990,G15,チョコレート,2,465
D00003011,T0000990,G04,バナナ,3,599
D00003012,T0000991,G07,さば,3,1251
D00003013,T0000991,G05,牛肉（国産）,1,882
D00003014,T0000991,G09,こしひかり5kg,2,5527
D00003015,T0000991,G15,チョコレート,3,599
D00003016,T0000991,G10,食パン,2,485
D00003017,T0000992,G05,牛肉（国産）,2,1769
D00003018,T0000992,G03,りんご,2,658
D00003019,T0000992,G14,ポテトチップス,3,536
D00003020,T0000992,G08,まぐろ刺身,2,1747
D00003021,T0000993,G14,ポテトチップス,1,157
D00003022,T0000993,G01,トマト,3,766
D00003023,T0000994,G02,レタス,3,591
D00003024,T0000994,G09,こしひかり5kg,1,2523
D00003025,T0000994,G11,からあげ弁当,3,1591
D00003026,T0000995,G03,りんご,1,344
D00003027,T0000995,G06,鶏むね肉,1,456
D00003028,T0000996,G06,鶏むね肉,2,933
D00003029,T0000996,G12,緑茶ペットボトル,1,138
D00003030,T0000996,G08,まぐろ刺身,3,2589
D00003031,T0000996,G04,バナナ,3,574
D00003032,T0000996,G12,緑茶ペットボトル,2,289
D00003033,T0000997,G10,食パン,3,666
D00003034,T0000997,G13,コーヒー豆,3,2538
D00003035,T0000997,G08,まぐろ刺身,2,1696
D00003036,T0000998,G01,トマト,3,822
D00003037,T0000998,G02,レタス,2,361
D00003038,T0000998,G03,りんご,3,1008
D00003039,T0000998,G02,レタス,1,190
D00003040,T0000999,G12,緑茶ペットボトル,1,142
D00003041,T0000999,G07,さば,1,424
D00003042,T0000999,G04,バナナ,1,202
D00003043,T0000999,G02,レタス,1,201
D00003044,T0000999,G03,りんご,2,582
D00003045,T0001000,G06,鶏むね肉,2,865
D00003046,T0001000,G02,レタス,2,343
D00003047,T0001000,G02,レタス,2,353
D00003048,T0001001,G16,しょうゆ,3,956
D00003049,T0001001,G10,食パン,3,732
D00003050,T0001001,G04,バナナ,2,397
D00003051,T0001002,G12,緑茶ペットボトル,2,292
D00003052,T0001002,G12,緑茶ペットボトル,2,266
D00003053,T0001002,G04,バナナ,3,586
D00003054,T0001002,G11,からあげ弁当,1,543
D00003055,T0001002,G03,りんご,1,295
D00003056,T0001003,G12,緑茶ペットボトル,3,389
D00003057,T0001003,G04,バナナ,2,447
D00003058,T0001004,G10,食パン,2,434
D00003059,T0001004,G08,まぐろ刺身,3,2566
D00003060,T0001004,G02,レタス,1,192
D00003061,T0001004,G14,ポテトチップス,3,537
D00003062,T0001004,G14,ポテトチップス,3,523
D00003063,T0001005,G15,チョコレート,2,452
D00003064,T0001005,G15,チョコレート,2,420
D00003065,T0001005,G06,鶏むね肉,3,1418
D00003066,T0001006,G02,レタス,1,202
D00003067,T0001006,G06,鶏むね肉,3,1507
D00003068,T0001006,G05,牛肉（国産）,1,933
D00003069,T0001006,G12,緑茶ペットボトル,1,138
D00003070,T0001006,G10,食パン,1,228
D00003071,T0001007,G08,まぐろ刺身,2,1599
D00003072,T0001007,G11,からあげ弁当,1,566
D00003073,T0001007,G11,からあげ弁当,1,612
D00003074,T0001007,G01,トマト,3,839
D00003075,T0001007,G12,緑茶ペットボトル,3,408
D00003076,T0001008,G06,鶏むね肉,3,1509
D00003077,T0001008,G03,りんご,1,319
D00003078,T0001008,G16,しょうゆ,1,308
D00003079,T0001008,G14,ポテトチップス,3,509
D00003080,T0001008,G10,食パン,3,692
D00003081,T0001009,G13,コーヒー豆,1,742
D00003082,T0001009,G08,まぐろ刺身,3,2668
D00003083,T0001009,G07,さば,1,453
D00003084,T0001009,G14,ポテトチップス,3,475
D00003085,T0001010,G07,さば,2,806
D00003086,T0001011,G12,緑茶ペットボトル,3,382
D00003087,T0001011,G07,さば,1,385
D00003088,T0001011,G16,しょうゆ,1,321
D00003089,T0001012,G01,トマト,1,245
D00003090,T0001012,G12,緑茶ペットボトル,2,255
D00003091,T0001012,G14,ポテトチップス,1,152
D00003092,T0001013,G14,ポテトチップス,1,173
D00003093,T0001014,G04,バナナ,1,195
D00003094,T0001014,G03,りんご,3,934
D00003095,T0001015,G02,レタス,2,384
D00003096,T0001015,G09,こしひかり5kg,1,2536
D00003097,T0001015,G08,まぐろ刺身,2,1638
D00003098,T0001015,G05,牛肉（国産）,2,1897
D00003099,T0001015,G01,トマト,2,528
D00003100,T0001016,G11,からあげ弁当,1,532
D00003101,T0001016,G14,ポテトチップス,3,523
D00003102,T0001017,G12,緑茶ペットボトル,2,253
D00003103,T0001017,G12,緑茶ペットボトル,2,253
D00003104,T0001018,G13,コーヒー豆,3,2589
D00003105,T0001018,G09,こしひかり5kg,1,2842
D00003106,T0001019,G07,さば,2,905
D00003107,T0001019,G12,緑茶ペットボトル,1,138
D00003108,T0001019,G07,さば,3,1266
D00003109,T0001019,G04,バナナ,2,451
D00003110,T0001020,G08,まぐろ刺身,2,1703
D00003111,T0001020,G09,こしひかり5kg,2,5597
D00003112,T0001020,G02,レタス,2,365
D00003113,T0001020,G07,さば,3,1266
D00003114,T0001021,G04,バナナ,3,639
D00003115,T0001021,G04,バナナ,3,669
D00003116,T0001022,G05,牛肉（国産）,1,1020
D00003117,T0001022,G10,食パン,3,679
D00003118,T0001022,G01,トマト,3,728
D00003119,T0001023,G05,牛肉（国産）,1,967
D00003120,T0001024,G04,バナナ,1,195
D00003121,T0001025,G06,鶏むね肉,1,487
D00003122,T0001025,G11,からあげ弁当,3,1741
D00003123,T0001025,G12,緑茶ペットボトル,3,434
D00003124,T0001025,G08,まぐろ刺身,1,772
D00003125,T0001026,G04,バナナ,3,606
D00003126,T0001026,G02,レタス,3,616
D00003127,T0001026,G10,食パン,1,241
D00003128,T0001026,G02,レタス,1,206
D00003129,T0001026,G07,さば,1,448
D00003130,T0001027,G02,レタス,1,181
D00003131,T0001027,G02,レタス,1,200
D00003132,T0001027,G08,まぐろ刺身,1,865
D00003133,T0001027,G12,緑茶ペットボトル,3,372
D00003134,T0001027,G07,さば,2,811
D00003135,T0001028,G12,緑茶ペットボトル,3,446
D00003136,T0001028,G16,しょうゆ,3,1053
D00003137,T0001028,G06,鶏むね肉,1,447
D00003138,T0001029,G02,レタス,2,345
D00003139,T0001029,G16,しょうゆ,2,674
D00003140,T0001029,G10,食パン,2,456
D00003141,T0001030,G04,バナナ,2,425
D00003142,T0001030,G01,トマト,3,767
D00003143,T0001031,G06,鶏むね肉,2,861
D00003144,T0001032,G08,まぐろ刺身,2,1579
D00003145,T0001032,G13,コーヒー豆,1,805
D00003146,T0001033,G13,コーヒー豆,1,875
D00003147,T0001033,G15,チョコレート,3,609
D00003148,T0001033,G11,からあげ弁当,3,1845
D00003149,T0001034,G15,チョコレート,1,206
D00003150,T0001035,G12,緑茶ペットボトル,1,136
D00003151,T0001035,G12,緑茶ペットボトル,3,443
D00003152,T0001035,G14,ポテトチップス,2,324
D00003153,T0001035,G15,チョコレート,2,407
D00003154,T0001036,G06,鶏むね肉,3,1376
D00003155,T0001036,G04,バナナ,3,675
D00003156,T0001036,G01,トマト,3,815
D00003157,T0001036,G02,レタス,1,197
D00003158,T0001037,G09,こしひかり5kg,3,8504
D00003159,T0001037,G14,ポテトチップス,2,307
D00003160,T0001037,G16,しょうゆ,2,629
D00003161,T0001038,G02,レタス,3,577
D00003162,T0001038,G12,緑茶ペットボトル,3,383
D00003163,T0001038,G07,さば,3,1298
D00003164,T0001038,G04,バナナ,3,631
D00003165,T0001038,G03,りんご,3,860
D00003166,T0001039,G09,こしひかり5kg,2,5824
D00003167,T0001039,G10,食パン,2,429
D00003168,T0001039,G10,食パン,1,220
D00003169,T0001039,G06,鶏むね肉,3,1329
D00003170,T0001039,G11,からあげ弁当,1,584
D00003171,T0001040,G12,緑茶ペットボトル,2,271
D00003172,T0001040,G13,コーヒー豆,1,751
D00003173,T0001040,G03,りんご,3,992
D00003174,T0001040,G02,レタス,1,198
D00003175,T0001040,G06,鶏むね肉,2,969
D00003176,T0001041,G14,ポテトチップス,3,462
D00003177,T0001041,G11,からあげ弁当,2,1193
D00003178,T0001041,G01,トマト,1,268
D00003179,T0001041,G16,しょうゆ,2,703
D00003180,T0001041,G02,レタス,3,601
D00003181,T0001042,G14,ポテトチップス,3,533
D00003182,T0001042,G03,りんご,2,579
D00003183,T0001043,G13,コーヒー豆,1,852
D00003184,T0001043,G12,緑茶ペットボトル,2,296
D00003185,T0001043,G05,牛肉（国産）,2,1939
D00003186,T0001044,G04,バナナ,3,684
D00003187,T0001045,G03,りんご,2,588
D00003188,T0001045,G02,レタス,3,536
D00003189,T0001045,G12,緑茶ペットボトル,3,391
D00003190,T0001045,G15,チョコレート,3,673
D00003191,T0001045,G10,食パン,2,455
D00003192,T0001046,G11,からあげ弁当,2,1119
D00003193,T0001047,G11,からあげ弁当,2,1233
D00003194,T0001047,G02,レタス,2,404
D00003195,T0001048,G10,食パン,2,425
D00003196,T0001048,G16,しょうゆ,1,320
D00003197,T0001048,G12,緑茶ペットボトル,2,268
D00003198,T0001048,G14,ポテトチップス,1,162
D00003199,T0001049,G03,りんご,1,343
D00003200,T0001050,G03,りんご,3,981
D00003201,T0001050,G10,食パン,1,237
D00003202,T0001051,G13,コーヒー豆,2,1488
D00003203,T0001051,G01,トマト,2,512
D00003204,T0001051,G04,バナナ,1,218
D00003205,T0001052,G08,まぐろ刺身,2,1777
D00003206,T0001052,G13,コーヒー豆,2,1739
D00003207,T0001052,G08,まぐろ刺身,1,810
D00003208,T0001052,G07,さば,2,855
D00003209,T0001053,G15,チョコレート,1,215
D00003210,T0001053,G06,鶏むね肉,3,1367
D00003211,T0001053,G03,りんご,2,582
D00003212,T0001054,G11,からあげ弁当,1,557
D00003213,T0001054,G10,食パン,3,639
D00003214,T0001055,G01,トマト,1,251
D00003215,T0001056,G05,牛肉（国産）,3,2574
D00003216,T0001057,G15,チョコレート,3,600
D00003217,T0001057,G07,さば,1,406
D00003218,T0001057,G04,バナナ,3,679
D00003219,T0001058,G04,バナナ,3,610
D00003220,T0001058,G01,トマト,2,567
D00003221,T0001059,G04,バナナ,2,431
D00003222,T0001059,G16,しょうゆ,2,682
D00003223,T0001059,G03,りんご,1,302
D00003224,T0001059,G04,バナナ,3,592
D00003225,T0001059,G01,トマト,2,492
D00003226,T0001060,G01,トマト,2,517
D00003227,T0001060,G12,緑茶ペットボトル,2,290
D00003228,T0001061,G03,りんご,1,289
D00003229,T0001061,G09,こしひかり5kg,2,5627
D00003230,T0001061,G16,しょうゆ,3,994
D00003231,T0001062,G14,ポテトチップス,1,154
D00003232,T0001062,G06,鶏むね肉,2,966
D00003233,T0001062,G11,からあげ弁当,2,1246
D00003234,T0001063,G03,りんご,1,320
D00003235,T0001064,G11,からあげ弁当,2,1148
D00003236,T0001064,G04,バナナ,1,192
D00003237,T0001064,G14,ポテトチップス,2,349
D00003238,T0001064,G15,チョコレート,2,422
D00003239,T0001064,G12,緑茶ペットボトル,3,387
D00003240,T0001065,G12,緑茶ペットボトル,1,131
D00003241,T0001066,G15,チョコレート,2,433
D00003242,T0001066,G10,食パン,1,240
D00003243,T0001066,G13,コーヒー豆,2,1497
D00003244,T0001067,G06,鶏むね肉,1,500
D00003245,T0001067,G15,チョコレート,3,662
D00003246,T0001068,G04,バナナ,3,684
D00003247,T0001068,G10,食パン,1,222
D00003248,T0001068,G14,ポテトチップス,3,472
D00003249,T0001068,G11,からあげ弁当,3,1692
D00003250,T0001068,G02,レタス,2,388
D00003251,T0001069,G02,レタス,1,180
D00003252,T0001069,G03,りんご,3,1009
D00003253,T0001069,G08,まぐろ刺身,2,1573
D00003254,T0001069,G08,まぐろ刺身,2,1818
D00003255,T0001070,G14,ポテトチップス,3,521
D00003256,T0001070,G13,コーヒー豆,1,816
D00003257,T0001071,G03,りんご,3,921
D00003258,T0001072,G02,レタス,3,533
D00003259,T0001072,G08,まぐろ刺身,1,775
D00003260,T0001073,G02,レタス,2,401
D00003261,T0001073,G02,レタス,1,202
D00003262,T0001073,G12,緑茶ペットボトル,3,392
D00003263,T0001073,G15,チョコレート,2,471
D00003264,T0001074,G12,緑茶ペットボトル,3,413
D00003265,T0001075,G01,トマト,2,487
D00003266,T0001075,G06,鶏むね肉,2,981
D00003267,T0001076,G16,しょうゆ,3,983
D00003268,T0001076,G07,さば,1,420
D00003269,T0001076,G06,鶏むね肉,3,1514
D00003270,T0001076,G12,緑茶ペットボトル,3,370
D00003271,T0001076,G14,ポテトチップス,1,182
D00003272,T0001077,G12,緑茶ペットボトル,2,279
D00003273,T0001077,G02,レタス,1,205
D00003274,T0001077,G09,こしひかり5kg,2,5139
D00003275,T0001077,G04,バナナ,1,215
D00003276,T0001078,G06,鶏むね肉,2,917
D00003277,T0001078,G03,りんご,1,295
D00003278,T0001078,G15,チョコレート,1,241
D00003279,T0001078,G10,食パン,3,717
D00003280,T0001078,G01,トマト,3,736
D00003281,T0001079,G02,レタス,3,567
D00003282,T0001079,G12,緑茶ペットボトル,3,445
D00003283,T0001080,G13,コーヒー豆,3,2596
D00003284,T0001080,G15,チョコレート,3,673
D00003285,T0001080,G02,レタス,2,404
D00003286,T0001081,G02,レタス,2,343
D00003287,T0001081,G04,バナナ,2,385
D00003288,T0001082,G02,レタス,3,521
D00003289,T0001082,G11,からあげ弁当,2,1243
D00003290,T0001082,G06,鶏むね肉,2,999
D00003291,T0001083,G14,ポテトチップス,3,470
D00003292,T0001083,G10,食パン,1,235
D00003293,T0001083,G14,ポテトチップス,3,503
D00003294,T0001083,G03,りんご,1,298
D00003295,T0001084,G05,牛肉（国産）,3,2594
D00003296,T0001084,G08,まぐろ刺身,1,803
D00003297,T0001085,G05,牛肉（国産）,3,2859
D00003298,T0001085,G12,緑茶ペットボトル,1,135
D00003299,T0001085,G09,こしひかり5kg,3,7694
D00003300,T0001085,G13,コーヒー豆,3,2676
D00003301,T0001085,G06,鶏むね肉,3,1483
D00003302,T0001086,G14,ポテトチップス,3,492
D00003303,T0001086,G04,バナナ,2,441
D00003304,T0001087,G12,緑茶ペットボトル,2,274
D00003305,T0001088,G16,しょうゆ,1,318
D00003306,T0001088,G15,チョコレート,1,240
D00003307,T0001088,G11,からあげ弁当,3,1711
D00003308,T0001088,G14,ポテトチップス,1,164
D00003309,T0001089,G12,緑茶ペットボトル,1,146
D00003310,T0001089,G12,緑茶ペットボトル,2,249
D00003311,T0001090,G08,まぐろ刺身,1,845
D00003312,T0001090,G10,食パン,2,495
D00003313,T0001090,G03,りんご,1,294
D00003314,T0001091,G05,牛肉（国産）,3,2974
D00003315,T0001091,G03,りんご,1,308
D00003316,T0001091,G11,からあげ弁当,1,567
D00003317,T0001092,G11,からあげ弁当,3,1599
D00003318,T0001092,G10,食パン,3,673
D00003319,T0001092,G13,コーヒー豆,3,2592
D00003320,T0001092,G15,チョコレート,3,678
D00003321,T0001092,G11,からあげ弁当,2,1125
D00003322,T0001093,G03,りんご,1,320
D00003323,T0001093,G13,コーヒー豆,1,858
D00003324,T0001093,G15,チョコレート,3,605
D00003325,T0001093,G04,バナナ,3,598
